"sim","solar_system","claim_count","agg_loss","theta_scenario","theta_used"
1,"Bayesia System",196,928313724.375478,"theta_1",1
2,"Bayesia System",1671,7293275423.97463,"theta_1",1
3,"Bayesia System",831,3549761105.06133,"theta_1",1
4,"Bayesia System",2317,10189395771.6852,"theta_1",1
5,"Bayesia System",199,939645415.161453,"theta_1",1
6,"Bayesia System",1238,5252195243.29666,"theta_1",1
7,"Bayesia System",215,889418087.56121,"theta_1",1
8,"Bayesia System",36,112188851.88923,"theta_1",1
9,"Bayesia System",1520,6365338752.87472,"theta_1",1
10,"Bayesia System",579,2834918932.70753,"theta_1",1
11,"Bayesia System",290,1151427112.09053,"theta_1",1
12,"Bayesia System",424,1903039094.93478,"theta_1",1
13,"Bayesia System",1111,4793175565.1322,"theta_1",1
14,"Bayesia System",458,2045556902.98529,"theta_1",1
15,"Bayesia System",8,16291137.7377518,"theta_1",1
16,"Bayesia System",1206,5155199677.65253,"theta_1",1
17,"Bayesia System",1653,7172717039.41481,"theta_1",1
18,"Bayesia System",791,3319223419.63298,"theta_1",1
19,"Bayesia System",428,1903960725.90083,"theta_1",1
20,"Bayesia System",470,1924531038.42735,"theta_1",1
21,"Bayesia System",24,87144262.024663,"theta_1",1
22,"Bayesia System",30,245661626.978708,"theta_1",1
23,"Bayesia System",781,3587199494.37191,"theta_1",1
24,"Bayesia System",3065,13924379939.0654,"theta_1",1
25,"Bayesia System",741,3027068985.68369,"theta_1",1
26,"Bayesia System",553,2820786530.17322,"theta_1",1
27,"Bayesia System",2940,13223776079.479,"theta_1",1
28,"Bayesia System",59,293569878.210923,"theta_1",1
29,"Bayesia System",1022,4818686216.36025,"theta_1",1
30,"Bayesia System",133,504225641.882889,"theta_1",1
31,"Bayesia System",394,1493766633.04623,"theta_1",1
32,"Bayesia System",256,1112584661.94836,"theta_1",1
33,"Bayesia System",783,3466737337.54017,"theta_1",1
34,"Bayesia System",836,3856550095.89275,"theta_1",1
35,"Bayesia System",636,2858642709.75208,"theta_1",1
36,"Bayesia System",659,2866149476.69361,"theta_1",1
37,"Bayesia System",1791,8212125184.3227,"theta_1",1
38,"Bayesia System",2135,9094430799.30339,"theta_1",1
39,"Bayesia System",675,2955212154.34875,"theta_1",1
40,"Bayesia System",548,2442869397.31319,"theta_1",1
41,"Bayesia System",180,769682243.958329,"theta_1",1
42,"Bayesia System",103,486810129.963611,"theta_1",1
43,"Bayesia System",335,1383384388.18879,"theta_1",1
44,"Bayesia System",884,4089623919.35331,"theta_1",1
45,"Bayesia System",933,4073622592.29282,"theta_1",1
46,"Bayesia System",555,2389767616.78702,"theta_1",1
47,"Bayesia System",1427,6041769467.60485,"theta_1",1
48,"Bayesia System",840,3219516078.03784,"theta_1",1
49,"Bayesia System",1058,4930605999.09557,"theta_1",1
50,"Bayesia System",981,4176970379.15387,"theta_1",1
51,"Bayesia System",527,2151396803.58602,"theta_1",1
52,"Bayesia System",1631,7415847764.11085,"theta_1",1
53,"Bayesia System",2325,10522204312.0273,"theta_1",1
54,"Bayesia System",276,1308254229.84216,"theta_1",1
55,"Bayesia System",3129,13509452570.4359,"theta_1",1
56,"Bayesia System",188,741035987.368345,"theta_1",1
57,"Bayesia System",1161,5466196409.63378,"theta_1",1
58,"Bayesia System",0,0,"theta_1",1
59,"Bayesia System",1189,5000861905.009,"theta_1",1
60,"Bayesia System",40,173690987.347897,"theta_1",1
61,"Bayesia System",426,1895594234.17081,"theta_1",1
62,"Bayesia System",132,633072431.986611,"theta_1",1
63,"Bayesia System",843,4152545394.51328,"theta_1",1
64,"Bayesia System",836,4131441157.70332,"theta_1",1
65,"Bayesia System",563,2396542147.12489,"theta_1",1
66,"Bayesia System",2575,11315309179.6358,"theta_1",1
67,"Bayesia System",833,3763322556.03503,"theta_1",1
68,"Bayesia System",70,280360760.597006,"theta_1",1
69,"Bayesia System",248,940280859.315117,"theta_1",1
70,"Bayesia System",573,2704081594.09074,"theta_1",1
71,"Bayesia System",217,933117684.806339,"theta_1",1
72,"Bayesia System",1189,4903169712.81911,"theta_1",1
73,"Bayesia System",199,670198917.264921,"theta_1",1
74,"Bayesia System",964,4060891568.35653,"theta_1",1
75,"Bayesia System",10,89899421.206007,"theta_1",1
76,"Bayesia System",24,157050184.541186,"theta_1",1
77,"Bayesia System",934,3735882540.90615,"theta_1",1
78,"Bayesia System",1393,6017261151.91271,"theta_1",1
79,"Bayesia System",72,330265687.34173,"theta_1",1
80,"Bayesia System",587,2519698154.33294,"theta_1",1
81,"Bayesia System",1710,7300912072.75394,"theta_1",1
82,"Bayesia System",1559,6125164470.43346,"theta_1",1
83,"Bayesia System",4219,18419325822.4936,"theta_1",1
84,"Bayesia System",459,2115619561.10461,"theta_1",1
85,"Bayesia System",53,205053242.573798,"theta_1",1
86,"Bayesia System",266,1078965196.65118,"theta_1",1
87,"Bayesia System",127,589325341.666982,"theta_1",1
88,"Bayesia System",16,82022761.3717817,"theta_1",1
89,"Bayesia System",636,2953182462.55852,"theta_1",1
90,"Bayesia System",1333,6241706397.21517,"theta_1",1
91,"Bayesia System",1093,4851303101.63849,"theta_1",1
92,"Bayesia System",107,491677803.323936,"theta_1",1
93,"Bayesia System",860,4279291268.11183,"theta_1",1
94,"Bayesia System",348,1522236256.42059,"theta_1",1
95,"Bayesia System",943,4138349920.56619,"theta_1",1
96,"Bayesia System",283,1266606487.57613,"theta_1",1
97,"Bayesia System",266,1060053486.45035,"theta_1",1
98,"Bayesia System",1030,4632522408.75676,"theta_1",1
99,"Bayesia System",1307,6357836876.12071,"theta_1",1
100,"Bayesia System",557,2127673667.01574,"theta_1",1
101,"Bayesia System",3488,15015724207.0886,"theta_1",1
102,"Bayesia System",418,1964189937.99531,"theta_1",1
103,"Bayesia System",1361,5864753831.89118,"theta_1",1
104,"Bayesia System",1422,6344070447.74921,"theta_1",1
105,"Bayesia System",311,1551651072.67689,"theta_1",1
106,"Bayesia System",557,1984024685.17056,"theta_1",1
107,"Bayesia System",474,2111985311.65424,"theta_1",1
108,"Bayesia System",79,256505889.85997,"theta_1",1
109,"Bayesia System",1745,7201825945.20209,"theta_1",1
110,"Bayesia System",364,1413841472.10775,"theta_1",1
111,"Bayesia System",500,2077934784.48242,"theta_1",1
112,"Bayesia System",1596,7502673406.76635,"theta_1",1
113,"Bayesia System",611,2736081655.73097,"theta_1",1
114,"Bayesia System",860,3786377716.45206,"theta_1",1
115,"Bayesia System",408,1753980368.60631,"theta_1",1
116,"Bayesia System",199,857529644.229311,"theta_1",1
117,"Bayesia System",111,503717436.092776,"theta_1",1
118,"Bayesia System",706,3186205874.40782,"theta_1",1
119,"Bayesia System",2397,10415021914.2719,"theta_1",1
120,"Bayesia System",4783,20238240205.3865,"theta_1",1
121,"Bayesia System",437,2222675134.76441,"theta_1",1
122,"Bayesia System",1705,8067639219.66732,"theta_1",1
123,"Bayesia System",40,272512926.161108,"theta_1",1
124,"Bayesia System",22,351646259.169253,"theta_1",1
125,"Bayesia System",236,1183036687.27022,"theta_1",1
126,"Bayesia System",749,3554317938.61775,"theta_1",1
127,"Bayesia System",766,3547326849.81857,"theta_1",1
128,"Bayesia System",540,2420717520.30026,"theta_1",1
129,"Bayesia System",1063,4629085457.18015,"theta_1",1
130,"Bayesia System",1501,6708371374.57137,"theta_1",1
131,"Bayesia System",385,1608913795.75335,"theta_1",1
132,"Bayesia System",209,1087393996.74929,"theta_1",1
133,"Bayesia System",31,103641806.585374,"theta_1",1
134,"Bayesia System",671,3031566825.82928,"theta_1",1
135,"Bayesia System",437,1970474735.32047,"theta_1",1
136,"Bayesia System",121,505181524.604523,"theta_1",1
137,"Bayesia System",34,172701694.797044,"theta_1",1
138,"Bayesia System",1343,5722829987.2321,"theta_1",1
139,"Bayesia System",140,484997571.822023,"theta_1",1
140,"Bayesia System",150,668748627.228334,"theta_1",1
141,"Bayesia System",417,1553776174.30964,"theta_1",1
142,"Bayesia System",571,2812603107.36108,"theta_1",1
143,"Bayesia System",337,1531020503.95322,"theta_1",1
144,"Bayesia System",273,1149377227.0989,"theta_1",1
145,"Bayesia System",421,2102356776.81222,"theta_1",1
146,"Bayesia System",1639,7272596180.54678,"theta_1",1
147,"Bayesia System",678,3002584058.58323,"theta_1",1
148,"Bayesia System",716,3302800594.98293,"theta_1",1
149,"Bayesia System",425,1843878002.87,"theta_1",1
150,"Bayesia System",1172,5087640784.17147,"theta_1",1
151,"Bayesia System",639,2936510597.62106,"theta_1",1
152,"Bayesia System",4,12385264.4220171,"theta_1",1
153,"Bayesia System",3919,16608340438.1844,"theta_1",1
154,"Bayesia System",538,2617155169.77856,"theta_1",1
155,"Bayesia System",2051,9641286749.12601,"theta_1",1
156,"Bayesia System",1760,7789640396.90677,"theta_1",1
157,"Bayesia System",1556,7005674264.73674,"theta_1",1
158,"Bayesia System",540,2302084356.90575,"theta_1",1
159,"Bayesia System",288,1365382523.88719,"theta_1",1
160,"Bayesia System",614,2688587358.28588,"theta_1",1
161,"Bayesia System",101,502003434.165946,"theta_1",1
162,"Bayesia System",567,2474326222.81355,"theta_1",1
163,"Bayesia System",2825,11609002488.2713,"theta_1",1
164,"Bayesia System",43,164941416.148285,"theta_1",1
165,"Bayesia System",648,2900313150.15101,"theta_1",1
166,"Bayesia System",266,1033500916.02491,"theta_1",1
