"theta_scenario","theta_used","sim","claim_count","agg_loss"
"theta_1",1,1,3449,16205883646.4997
"theta_1",1,2,5901,25200338833.2557
"theta_1",1,3,1614,7177200129.59697
"theta_1",1,4,5539,24176863725.5744
"theta_1",1,5,2354,10560257582.166
"theta_1",1,6,3190,13760965843.5936
"theta_1",1,7,1974,8547561871.2753
"theta_1",1,8,904,3755830547.89764
"theta_1",1,9,11408,50404851790.0848
"theta_1",1,10,2938,12893306208.3558
"theta_1",1,11,1150,4428289627.07447
"theta_1",1,12,925,4082397621.0717
"theta_1",1,13,4226,18781775924.9632
"theta_1",1,14,2567,11076569357.3115
"theta_1",1,15,3494,16098397655.6771
"theta_1",1,16,5910,25727807210.682
"theta_1",1,17,9616,41076163788.1141
"theta_1",1,18,2100,10186211412.8881
"theta_1",1,19,9174,39156603744.7449
"theta_1",1,20,2916,12116666508.1145
"theta_1",1,21,830,4027058555.82438
"theta_1",1,22,3101,13355850869.7618
"theta_1",1,23,3570,16412600549.7268
"theta_1",1,24,4776,21165081487.4024
"theta_1",1,25,4329,18560565695.3235
"theta_1",1,26,4609,20592748075.7705
"theta_1",1,27,4692,20567582080.3821
"theta_1",1,28,2379,10928089110.4442
"theta_1",1,29,6486,30146144498.2952
"theta_1",1,30,2253,9615233107.69006
"theta_1",1,31,2801,12909981604.2438
"theta_1",1,32,3240,14349797161.9488
"theta_1",1,33,1918,8688553233.42746
"theta_1",1,34,2250,9825956389.40701
"theta_1",1,35,8090,35618703770.8346
"theta_1",1,36,2288,9607442978.90636
"theta_1",1,37,4864,21780132068.9167
"theta_1",1,38,4187,18779444385.7465
"theta_1",1,39,2012,9228672371.30551
"theta_1",1,40,1527,6853865910.30586
"theta_1",1,41,4652,20834872893.4855
"theta_1",1,42,1809,8118773436.25702
"theta_1",1,43,2995,12745364647.4756
"theta_1",1,44,2566,12035421838.789
"theta_1",1,45,6271,26713472269.9309
"theta_1",1,46,4014,18461038249.7712
"theta_1",1,47,3278,14320567940.0303
"theta_1",1,48,6494,26216783588.4312
