"sim","agg_loss","claim_count"
1,3784369185.24699,1282
2,4235956559.48995,1547
3,3064461090.85543,1288
4,4356579380.56418,1419
5,4215600929.06395,1511
6,3426107357.7935,1428
7,3454628498.0261,1425
8,3626406613.8691,1324
9,3558603860.92329,1480
10,4029776136.77032,1540
11,3418110456.33182,1368
12,3809407134.9143,1506
13,5214273519.51548,1447
14,3724916687.37735,1512
15,3279879792.19668,1500
16,4024882297.99743,1403
17,3453158145.50643,1378
18,3666661292.79309,1311
19,4403222894.32884,1379
20,3832666342.07619,1477
21,3950981862.30572,1544
22,3994416894.79418,1503
23,4813695347.16104,1493
24,4146536122.52197,1514
25,3680947630.74506,1438
26,4270263854.39799,1387
27,3340889521.05323,1286
28,3790087943.75437,1482
29,3248274725.7533,1386
30,4104237353.74307,1550
31,3934475993.79269,1361
32,4862748911.6696,1370
33,3488431508.26224,1408
34,4053986112.76262,1467
35,3324313505.33743,1473
36,3555027254.11051,1436
37,4358949268.77534,1440
38,4600492872.45243,1358
39,3710187568.30498,1486
40,4213448991.13446,1446
41,4896253086.85141,1519
42,3915849436.70966,1303
43,4016534272.12845,1408
44,2966432536.04305,1410
45,3662545408.96298,1362
46,3862627256.36403,1374
47,5290137658.91746,1470
48,4015640418.33721,1279
49,3182570321.70421,1367
50,5099468770.27204,1340
51,4080331920.19758,1427
52,4837555807.75509,1555
53,4235569962.66929,1569
54,4295538334.08626,1443
55,3260283481.92809,1362
56,4455635715.78423,1351
57,4403517095.63039,1462
58,3972099889.41333,1392
59,4098567979.4655,1427
60,3641350502.07608,1490
61,3352503154.92231,1346
62,3935357001.75329,1449
63,3258865556.04913,1525
64,4276241930.41694,1337
65,3387740595.87033,1422
66,3237367987.31447,1448
67,3044649111.11508,1384
68,3911010043.44551,1311
69,4273346530.37652,1421
70,3998660525.13011,1426
71,4736460289.7499,1331
72,4080290133.06953,1419
73,4450425553.2598,1419
74,4288342777.38727,1528
75,5286229424.43837,1415
76,2733040669.63203,1278
77,3761446857.71053,1350
78,4468128800.97398,1385
79,4380053625.39295,1557
80,4696953031.17215,1386
81,4114347792.9616,1446
82,4234380229.03903,1592
83,3502119861.65798,1504
84,3427340312.66738,1395
85,4826236606.16234,1438
86,4121486852.33425,1289
87,3939065113.8749,1466
88,3546616114.39186,1358
89,3495484514.07998,1284
90,4440661786.07855,1381
91,3402543158.17419,1532
92,5663445612.35164,1516
93,3869241518.793,1412
94,4360884855.14714,1533
95,3375584168.93144,1483
96,3810729354.9602,1422
97,4465711852.73635,1492
98,3475526326.07233,1405
99,4571076936.39352,1503
100,3977924471.58282,1284
101,3516010046.34093,1425
102,3311557051.20653,1342
103,4467567895.57108,1591
104,3666285966.13482,1323
105,2798869635.14762,1305
106,3532397357.06671,1396
107,3375241576.15908,1297
108,4055539377.90731,1226
109,3211302154.64013,1316
110,4260030216.177,1481
111,3941892838.12815,1444
112,4080593842.4754,1450
113,3303473824.90681,1433
114,3744748977.11075,1491
115,2842579242.24564,1310
116,5307904980.85643,1394
117,4460906291.39707,1384
118,4154943930.67749,1393
119,3695551028.69069,1393
120,3955369962.82912,1468
121,3522628967.47651,1346
122,4456305282.63879,1493
123,4419112308.18943,1339
124,4455861858.79864,1468
125,3999931671.65672,1329
126,4182336974.18899,1434
127,3290606428.10576,1297
128,4044109749.44195,1419
129,3972099101.91355,1369
130,3676245260.6132,1497
131,4961693150.39635,1283
132,3061350115.81041,1395
133,3472372312.06074,1558
134,5114774988.64857,1580
135,3807149404.24561,1244
136,3953625126.1083,1338
137,3495651521.04845,1379
138,3291305336.82938,1361
139,3769282345.21201,1317
140,4389868103.52929,1485
141,4148888686.21341,1316
142,4038429222.38879,1347
143,4279048866.1369,1473
144,3822073859.90931,1375
145,4025764769.60543,1399
146,3857652438.91284,1319
147,3633745497.88846,1348
148,4246315030.03837,1455
149,3531960033.05949,1518
150,4148281508.01587,1313
151,5182013961.96373,1451
152,3649470631.30304,1379
153,3718168891.95952,1299
154,3726897361.50192,1469
155,4299409909.8655,1462
156,3829169667.04281,1412
157,3301962926.17331,1378
158,4067393307.4595,1538
159,4005371521.96622,1420
160,4392498824.03386,1455
161,4898922988.23278,1241
162,4049859608.36207,1435
163,3813706879.38438,1339
164,3533838155.24925,1349
165,3805929125.31794,1535
166,3613551690.87581,1343
167,4476465008.66839,1364
168,4747289288.02773,1463
169,4321345659.22085,1387
170,2977690578.59185,1353
171,3796140967.15708,1337
172,4825837004.09718,1384
173,3782125563.06948,1390
174,3211406818.04149,1442
175,2860183705.89445,1312
176,3978347628.03271,1531
177,4816472337.81655,1440
178,5186256647.62374,1438
179,4748530940.74253,1382
180,3727415352.95234,1415
181,3158925207.78037,1403
182,4065284884.15008,1471
183,4164081913.95083,1391
