"sim","solar_system_original","agg_loss","claim_count"
1,"Bayesia System",1221955016.20641,398
1,"Helionis Cluster",1496496546.46524,548
1,"Oryn Delta",1065917622.57534,336
2,"Bayesia System",2057843911.06404,480
2,"Helionis Cluster",1213644671.31964,590
2,"Oryn Delta",964467977.106274,477
3,"Bayesia System",988926153.846595,468
3,"Helionis Cluster",1239310292.51063,483
3,"Oryn Delta",836224644.498205,337
4,"Bayesia System",914442616.912957,475
4,"Helionis Cluster",2255415676.73982,560
4,"Oryn Delta",1186721086.9114,384
5,"Bayesia System",1270807097.89285,543
5,"Helionis Cluster",2160797557.66826,598
5,"Oryn Delta",783996273.502837,370
6,"Bayesia System",1297952432.77277,545
6,"Helionis Cluster",1189865899.97055,561
6,"Oryn Delta",938289025.050184,322
7,"Bayesia System",1130088744.66888,508
7,"Helionis Cluster",1267751203.86786,541
7,"Oryn Delta",1056788549.48936,376
8,"Bayesia System",1342657249.28631,426
8,"Helionis Cluster",1055714248.23231,543
8,"Oryn Delta",1228035116.35048,355
9,"Bayesia System",1464859406.81055,529
9,"Helionis Cluster",1256319144.52705,549
9,"Oryn Delta",837425309.585681,402
10,"Bayesia System",1496773208.76814,547
10,"Helionis Cluster",1366578046.1073,571
10,"Oryn Delta",1166424881.89488,422
11,"Bayesia System",1405399940.32719,498
11,"Helionis Cluster",1292486780.26273,587
11,"Oryn Delta",720223735.741902,283
12,"Bayesia System",1336775442.20683,547
12,"Helionis Cluster",1572541139.71767,600
12,"Oryn Delta",900090552.98979,359
13,"Bayesia System",1754416078.41669,559
13,"Helionis Cluster",1415992768.88501,492
13,"Oryn Delta",2043864672.21378,396
14,"Bayesia System",933883423.312863,569
14,"Helionis Cluster",1589968541.48436,593
14,"Oryn Delta",1201064722.58012,350
15,"Bayesia System",1369233736.71536,543
15,"Helionis Cluster",1154618600.88351,610
15,"Oryn Delta",756027454.597805,347
16,"Bayesia System",1724641024.34985,519
16,"Helionis Cluster",1281714217.88088,477
16,"Oryn Delta",1018527055.76671,407
17,"Bayesia System",1368174310.44075,447
17,"Helionis Cluster",1349262797.76006,519
17,"Oryn Delta",735721037.305628,412
18,"Bayesia System",1127897149.83604,476
18,"Helionis Cluster",1829756498.35373,528
18,"Oryn Delta",709007644.603312,307
19,"Bayesia System",1609171987.04241,477
19,"Helionis Cluster",1865885322.88404,556
19,"Oryn Delta",928165584.402394,346
20,"Bayesia System",974742327.948196,435
20,"Helionis Cluster",1432711374.40177,612
20,"Oryn Delta",1425212639.72622,430
21,"Bayesia System",1063438763.09667,492
21,"Helionis Cluster",2128717924.64015,662
21,"Oryn Delta",758825174.568892,390
22,"Bayesia System",1301649064.31205,513
22,"Helionis Cluster",1274354452.34212,628
22,"Oryn Delta",1418413378.14001,362
23,"Bayesia System",1479892522.70797,518
23,"Helionis Cluster",2441332752.34209,607
23,"Oryn Delta",892470072.110983,368
24,"Bayesia System",1572845383.19943,546
24,"Helionis Cluster",1665383043.89695,595
24,"Oryn Delta",908307695.425592,373
25,"Bayesia System",1283060361.35193,533
25,"Helionis Cluster",1655776304.35098,594
25,"Oryn Delta",742110965.042158,311
26,"Bayesia System",1532705278.21628,515
26,"Helionis Cluster",1558841626.40192,490
26,"Oryn Delta",1178716949.77979,382
27,"Bayesia System",1141641544.52733,493
27,"Helionis Cluster",1468958018.72778,467
27,"Oryn Delta",730289957.798122,326
28,"Bayesia System",1443076468.3394,512
28,"Helionis Cluster",1260863554.63818,527
28,"Oryn Delta",1086147920.77679,443
29,"Bayesia System",1326206451.4269,514
29,"Helionis Cluster",1210637178.9511,539
29,"Oryn Delta",711431095.375307,333
30,"Bayesia System",1203454340.72556,521
30,"Helionis Cluster",1960233033.47454,596
30,"Oryn Delta",940549979.542974,433
31,"Bayesia System",1573219713.92058,444
31,"Helionis Cluster",1265883404.67907,582
31,"Oryn Delta",1095372875.19305,335
32,"Bayesia System",1515736025.68959,426
32,"Helionis Cluster",2144141705.3784,595
32,"Oryn Delta",1202871180.60161,349
33,"Bayesia System",1053954087.80947,458
33,"Helionis Cluster",1678260397.52016,565
33,"Oryn Delta",756217022.93262,385
34,"Bayesia System",1441007827.1843,545
34,"Helionis Cluster",1741855039.84585,576
34,"Oryn Delta",871123245.732463,346
35,"Bayesia System",1186733848.19899,480
35,"Helionis Cluster",981596024.571879,549
35,"Oryn Delta",1155983632.56657,444
36,"Bayesia System",1227756224.84467,477
36,"Helionis Cluster",1381734717.38796,587
36,"Oryn Delta",945536311.877879,372
37,"Bayesia System",2026045287.12113,487
37,"Helionis Cluster",1406551957.65818,520
37,"Oryn Delta",926352023.996028,433
38,"Bayesia System",1343795806.5524,496
38,"Helionis Cluster",1751765711.7608,543
38,"Oryn Delta",1504931354.13923,319
39,"Bayesia System",1432323815.04477,467
39,"Helionis Cluster",1278912771.69459,568
39,"Oryn Delta",998950981.565616,451
40,"Bayesia System",1623868044.81813,559
40,"Helionis Cluster",1568860295.99034,534
40,"Oryn Delta",1020720650.326,353
41,"Bayesia System",1578405525.08175,514
41,"Helionis Cluster",2256367572.01179,589
41,"Oryn Delta",1061479989.75787,416
42,"Bayesia System",1669034488.96353,512
42,"Helionis Cluster",851660544.063861,464
42,"Oryn Delta",1395154403.68227,327
43,"Bayesia System",1961944434.24586,508
43,"Helionis Cluster",1053119126.44484,491
43,"Oryn Delta",1001470711.43775,409
44,"Bayesia System",843569246.369511,479
44,"Helionis Cluster",1155363615.43291,537
44,"Oryn Delta",967499674.240624,394
45,"Bayesia System",1915795858.75046,544
45,"Helionis Cluster",1081731039.15924,518
45,"Oryn Delta",665018511.053287,300
46,"Bayesia System",1190908813.69668,510
46,"Helionis Cluster",1479873061.6694,530
46,"Oryn Delta",1191845380.99795,334
47,"Bayesia System",1520212436.05556,490
47,"Helionis Cluster",2168704145.70698,610
47,"Oryn Delta",1601221077.15492,370
48,"Bayesia System",1744907707.93056,514
48,"Helionis Cluster",1486549764.18587,474
48,"Oryn Delta",784182946.220784,291
49,"Bayesia System",1028680589.22346,487
49,"Helionis Cluster",1382778783.23826,535
49,"Oryn Delta",771110949.242495,345
50,"Bayesia System",1564468480.21263,451
50,"Helionis Cluster",1737901339.63188,494
50,"Oryn Delta",1797098950.42753,395
51,"Bayesia System",1150418096.24106,521
51,"Helionis Cluster",1525836232.18136,529
51,"Oryn Delta",1404077591.77515,377
52,"Bayesia System",1704858895.73109,540
52,"Helionis Cluster",2276274104.0521,583
52,"Oryn Delta",856422807.971899,432
53,"Bayesia System",1122925030.64218,551
53,"Helionis Cluster",1911421429.19099,567
53,"Oryn Delta",1201223502.83612,451
54,"Bayesia System",1598100064.27497,497
54,"Helionis Cluster",1395086401.1351,553
54,"Oryn Delta",1302351868.6762,393
55,"Bayesia System",1279808270.67064,496
55,"Helionis Cluster",1202070356.99944,543
55,"Oryn Delta",778404854.25801,323
56,"Bayesia System",1951412890.44642,499
56,"Helionis Cluster",1561007626.67591,529
56,"Oryn Delta",943215198.661904,323
57,"Bayesia System",2056569551.58869,568
57,"Helionis Cluster",1426541894.31919,556
57,"Oryn Delta",920405649.722506,338
58,"Bayesia System",1828102026.80529,536
58,"Helionis Cluster",1383092394.04847,473
58,"Oryn Delta",760905468.559576,383
59,"Bayesia System",1475810647.74034,509
59,"Helionis Cluster",1420571507.57273,564
59,"Oryn Delta",1202185824.15243,354
60,"Bayesia System",1367597163.86189,485
60,"Helionis Cluster",1246114531.49917,637
60,"Oryn Delta",1027638806.71503,368
61,"Bayesia System",1039085200.73575,446
61,"Helionis Cluster",1351924336.6341,529
61,"Oryn Delta",961493617.552449,371
62,"Bayesia System",1205871541.01067,425
62,"Helionis Cluster",1609842395.83543,638
62,"Oryn Delta",1119643064.90719,386
63,"Bayesia System",1176050775.25201,530
63,"Helionis Cluster",955924092.933361,557
63,"Oryn Delta",1126890687.86376,438
64,"Bayesia System",1162777934.50872,443
64,"Helionis Cluster",2022354249.76228,499
64,"Oryn Delta",1091109746.14595,395
65,"Bayesia System",1181853613.99606,505
65,"Helionis Cluster",1097016608.72014,519
65,"Oryn Delta",1108870373.15413,398
66,"Bayesia System",1084958428.08198,522
66,"Helionis Cluster",1068998401.05165,548
66,"Oryn Delta",1083411158.18084,378
67,"Bayesia System",987329408.363736,458
67,"Helionis Cluster",1411666921.96732,596
67,"Oryn Delta",645652780.784022,330
68,"Bayesia System",1209890373.23925,462
68,"Helionis Cluster",1204127373.60203,506
68,"Oryn Delta",1496992296.60422,343
69,"Bayesia System",1831847763.36615,422
69,"Helionis Cluster",1387788190.7926,603
69,"Oryn Delta",1053710576.21777,396
70,"Bayesia System",1487237349.26626,522
70,"Helionis Cluster",1641259079.38225,526
70,"Oryn Delta",870164096.481607,378
71,"Bayesia System",1090294206.76647,427
71,"Helionis Cluster",2730416237.8922,556
71,"Oryn Delta",915749845.091231,348
72,"Bayesia System",1339812172.14022,481
72,"Helionis Cluster",1595134729.7046,565
72,"Oryn Delta",1145343231.22471,373
73,"Bayesia System",1417138025.27116,519
73,"Helionis Cluster",1870760916.99892,545
73,"Oryn Delta",1162526610.98972,355
74,"Bayesia System",1162901042.27375,508
74,"Helionis Cluster",1893460002.38163,637
74,"Oryn Delta",1231981732.73188,383
75,"Bayesia System",3314186546.7455,503
75,"Helionis Cluster",959869109.009824,581
75,"Oryn Delta",1012173768.68305,331
76,"Bayesia System",749632475.282508,480
76,"Helionis Cluster",1352687927.9938,480
76,"Oryn Delta",630720266.35572,318
77,"Bayesia System",1616981129.2819,484
77,"Helionis Cluster",1340087937.20538,500
77,"Oryn Delta",804377791.22324,366
78,"Bayesia System",1337884978.58673,468
78,"Helionis Cluster",2178276072.99225,506
78,"Oryn Delta",951967749.394999,411
79,"Bayesia System",953092936.518768,565
79,"Helionis Cluster",1936801472.44423,573
79,"Oryn Delta",1490159216.42995,419
80,"Bayesia System",1397000229.89976,475
80,"Helionis Cluster",2086474842.47292,507
80,"Oryn Delta",1213477958.79947,404
81,"Bayesia System",1305401035.74932,511
81,"Helionis Cluster",1749595916.40931,571
81,"Oryn Delta",1059350840.80297,364
82,"Bayesia System",1810083763.13279,521
82,"Helionis Cluster",1507081138.76972,602
82,"Oryn Delta",917215327.136529,469
83,"Bayesia System",1319365245.87364,595
83,"Helionis Cluster",1231607137.86405,496
83,"Oryn Delta",951147477.920292,413
84,"Bayesia System",1301039880.57203,536
84,"Helionis Cluster",1418075676.70811,490
84,"Oryn Delta",708224755.387241,369
85,"Bayesia System",1145039779.73118,460
85,"Helionis Cluster",1876598082.59389,595
85,"Oryn Delta",1804598743.83726,383
86,"Bayesia System",1091255549.01263,477
86,"Helionis Cluster",2435233872.16256,513
86,"Oryn Delta",594997431.159053,299
87,"Bayesia System",1144527701.61246,499
87,"Helionis Cluster",1093492189.19438,536
87,"Oryn Delta",1701045223.06805,431
88,"Bayesia System",1153097130.85066,446
88,"Helionis Cluster",1544445344.47346,572
88,"Oryn Delta",849073639.067735,340
89,"Bayesia System",1318863607.93837,465
89,"Helionis Cluster",1156366230.47155,423
89,"Oryn Delta",1020254675.67006,396
90,"Bayesia System",1337658910.44777,488
90,"Helionis Cluster",2241653623.0459,563
90,"Oryn Delta",861349252.584883,330
91,"Bayesia System",1239070022.24608,556
91,"Helionis Cluster",1263585208.43157,591
91,"Oryn Delta",899887927.496547,385
92,"Bayesia System",2401300016.7213,548
92,"Helionis Cluster",2380124115.59861,554
92,"Oryn Delta",882021480.03172,414
93,"Bayesia System",1194640052.59526,522
93,"Helionis Cluster",1612291032.59906,519
93,"Oryn Delta",1062310433.59868,371
94,"Bayesia System",1291442025.18184,530
94,"Helionis Cluster",1963388109.79179,635
94,"Oryn Delta",1106054720.1735,368
95,"Bayesia System",1233726565.83319,525
95,"Helionis Cluster",1358680049.19947,636
95,"Oryn Delta",783177553.898782,322
96,"Bayesia System",1336903888.24747,503
96,"Helionis Cluster",1419737714.84754,519
96,"Oryn Delta",1054087751.86519,400
97,"Bayesia System",1370680858.38832,532
97,"Helionis Cluster",1973676177.49985,594
97,"Oryn Delta",1121354816.84818,366
98,"Bayesia System",1343543619.05242,525
98,"Helionis Cluster",1229878933.97557,510
98,"Oryn Delta",902103773.044339,370
99,"Bayesia System",2204508824.29402,584
99,"Helionis Cluster",1350222015.13119,571
99,"Oryn Delta",1016346096.96831,348
100,"Bayesia System",1264718478.65802,479
100,"Helionis Cluster",1877736029.93585,540
100,"Oryn Delta",835469962.988942,265
101,"Bayesia System",990713501.9205,476
101,"Helionis Cluster",1407954688.35427,561
101,"Oryn Delta",1117341856.06616,388
102,"Bayesia System",1019617395.53979,414
102,"Helionis Cluster",1427488524.51967,501
102,"Oryn Delta",864451131.147065,427
103,"Bayesia System",1994791845.80624,639
103,"Helionis Cluster",1639887594.40339,588
103,"Oryn Delta",832888455.361442,364
104,"Bayesia System",1146973348.16037,482
104,"Helionis Cluster",1453183704.43724,533
104,"Oryn Delta",1066128913.53721,308
105,"Bayesia System",791965212.352687,428
105,"Helionis Cluster",1141964131.46052,514
105,"Oryn Delta",864940291.334413,363
106,"Bayesia System",1165576618.99021,502
106,"Helionis Cluster",1210562037.09145,546
106,"Oryn Delta",1156258700.98505,348
107,"Bayesia System",810766207.989841,407
107,"Helionis Cluster",1387308922.51548,457
107,"Oryn Delta",1177166445.65376,433
108,"Bayesia System",1560712666.7781,501
108,"Helionis Cluster",987167622.558611,400
108,"Oryn Delta",1507659088.5706,325
109,"Bayesia System",980863742.697975,395
109,"Helionis Cluster",1095258306.05683,544
109,"Oryn Delta",1135180105.88533,377
110,"Bayesia System",1896540530.84828,552
110,"Helionis Cluster",1348958807.47382,519
110,"Oryn Delta",1014530877.85489,410
111,"Bayesia System",1444947814.45071,513
111,"Helionis Cluster",1642511433.01504,568
111,"Oryn Delta",854433590.662393,363
112,"Bayesia System",1170894025.81401,529
112,"Helionis Cluster",1682633757.24803,572
112,"Oryn Delta",1227066059.41337,349
113,"Bayesia System",1652943982.16345,565
113,"Helionis Cluster",848139385.179559,552
113,"Oryn Delta",802390457.563806,316
114,"Bayesia System",1332689631.59529,522
114,"Helionis Cluster",1494228768.92165,584
114,"Oryn Delta",917830576.59381,385
115,"Bayesia System",1134796915.18232,490
115,"Helionis Cluster",1022873775.19431,532
115,"Oryn Delta",684908551.869009,288
116,"Bayesia System",2809695464.02628,493
116,"Helionis Cluster",1403589619.01991,576
116,"Oryn Delta",1094619897.81024,325
