"sim","Field Operations","Heavy Operations","Office/Admin","Technical"
1,376245.6,492701.99,41533.86,411273.37
2,390924.82,347743.81,40307.79,490959.29
3,323824.94,551400.95,42206.32,547206.12
4,449175.13,495498.24,33315.46,387218.91
5,385559.53,439219.91,58983.13,444051.34
6,417083.31,440413.74,57050.1,397458.36
7,441655.87,475393.29,34435.55,516759.83
8,348597.85,462549.21,14954.76,477043.06
9,434976.62,378596.6,39576.95,478644.59
10,436142.17,582449.8,38907.45,400006.61
11,419294.32,496228.88,37676.49,434164.3
12,362292.32,417126.78,42978.72,385504.67
13,350353.65,512075.3,58621.53,500751.1
14,396738.1,381048.95,32377.42,674064.99
15,478117.54,460884.89,30540.14,467238.23
16,459744.46,432248.75,35523.34,341679.1
17,357259.99,402118.42,40804.04,538007.2
18,464939.68,355776.8,41815.87,348073.27
19,540697.33,495239.11,39915.39,533417.44
20,368931.66,420987.5,47322.73,403369.86
21,364514.09,424615.88,28507.78,392595.28
22,485496.05,354584.93,86069.02,337127.07
23,483348.15,361834.47,44740.03,424983.08
24,343777.72,476170.96,31173.43,330944.06
25,421167.33,522666.16,27087,515353.55
26,373229.21,401427.61,304769.28,403222.61
27,485534.12,477423.58,30960.78,504723.62
28,502153.81,446026.06,49561.43,518241.05
29,471900.06,413079.14,176064.36,429716.24
30,332820.13,473429.33,39611.64,464212.59
31,421167.09,386826.7,51844.21,411761.56
32,392043.64,425294.34,40769.06,441984.56
33,400830.61,428521.46,39363.3,382162.69
34,421254.33,402004.31,53473.42,425757.17
35,545961.15,603857.77,29820.47,291647.91
36,509088.06,459748.67,94606.23,493159.15
37,464888.83,449799.25,20638.25,400007.27
38,443750.69,592120.71,37045.33,380771.76
39,510021.47,409306.46,65044.73,398455.08
40,426994.21,433337.75,54612.48,399660.02
41,473255.81,434739.59,62179.76,427462.15
42,455709.29,576698.23,25499.65,429015.99
43,375784.39,469990.01,27048.98,390298.64
44,417057.25,480690.17,36180.96,518882.54
45,462698.93,400125.21,25614.35,450279.83
46,516300.23,341191.44,26405.89,423262.72
47,381940.4,476926.33,24615.59,462477.61
48,507419.71,505227.29,45513.51,458591.88
49,491366.5,453242.08,38892.63,533626.72
50,379837.55,445739.95,29814.13,437939.67
51,386887.08,518577.37,49351.45,447470.98
52,411194.61,414892.62,41772.13,409394.24
53,394667.65,411532.23,35050.36,490119.13
54,428923.55,535303.79,61973.12,435786.6
55,443396.73,417095.88,23398.61,476111.84
56,498926,507041.08,37944.1,362453.36
57,415854.02,324966.23,41347.75,444844.08
58,404446.89,416667.53,57388.17,542634.35
59,411541.84,372359.93,104938.71,669098.19
60,567176.27,657245.88,39094.39,440354.24
61,383380.4,489800.24,34534.92,540498.02
62,394447.09,438925.91,212232.33,604449.43
63,442041.4,416761.03,63272,471766.52
64,345645.87,543394.18,45196.77,442219.52
65,483403.35,451832.34,50799.5,406016.93
66,359865.19,371119.15,140157.51,407269.95
67,427502.2,581559.12,53596.75,526199.78
68,381479.39,442262.16,21965.1,356623.47
69,381800.75,396979.9,21585.66,353925.81
70,391770.67,392034.5,24512.67,589914.52
71,434261.79,459721.03,64280.31,530149.05
72,459877.83,419068.76,40187.76,520760.85
73,616745.91,382677.37,35783.9,524944.24
74,393551.77,367480.99,36266.3,506291.56
75,414249.3,500526.39,34345.69,412443.23
76,382147.17,459923.57,57819.85,513387.93
77,425760.49,499305.67,33243.87,425414.03
78,535176.01,420494.63,32372.35,250861.29
79,434603.89,568753.29,164693.92,402966.52
80,461176.82,427500.78,30191.2,491987.76
81,391182.27,498459.03,18897.93,478539.4
82,373208.39,452827.21,41449.85,488930.27
83,427647.16,534946.27,39495.4,418831.15
84,425109.69,360921.21,36617.06,433827.26
85,431145.46,497081.92,48070.2,401825.96
86,452964.97,404662.61,27699.5,489938.57
87,537783.26,432461.41,50531.19,421257.84
88,494405.35,495326.31,58395.13,291383.76
89,334675.27,431818.14,30882.13,508897.73
90,411389.46,413994.48,52683.02,314130.03
91,421610.83,445666.7,106825.11,486874.3
92,437883.47,380899.17,48219.91,455955.73
93,440988.47,452258.86,64269.77,293141.71
94,457416.85,506674.61,66167.64,544897.63
95,485195.59,458910.14,77242.81,399936.57
96,343485.19,536420.28,33719.85,504903.04
97,384191.55,356549.98,37883.83,327717.74
98,457847.57,497354.92,18130.45,387821.99
99,387643.22,480875.3,39120.94,435877.82
100,404881.14,488453.52,19979.4,499683.04
101,500378.17,455465.68,40898.56,379731.46
102,560868.66,445293.84,40195.76,424483.58
103,550171.06,404199.32,41164.12,424417.87
104,486189.36,444471,46874.99,503929.27
105,509977.63,437655.83,38788.12,405220.09
106,418714.55,417560.91,62243.37,408590.99
107,534588.31,420655.44,40459.62,485248.09
108,409871.28,485133.18,65448.11,456101.44
109,498611.8,416748.43,58792.95,408929.52
110,494773.66,567635.24,31188.03,448955.26
111,365507.68,406562.69,42114.34,399704.72
112,398389.6,411185.27,65290.22,422735.96
113,550083.31,612467.7,37660.56,544816.38
114,376483.46,496728.93,50479.2,344207.35
115,475143.95,502397.89,101258.44,527492.14
116,366043.1,388205.68,24404.89,490429.46
117,372652.52,610606.39,38087.09,372423.95
118,454881.62,694154.32,26428.13,506764.54
119,390521.54,401885.21,35582.77,457107.64
120,458780.82,420478.21,24218.9,444572.09
121,493503.27,453183.25,17825.92,472474.75
122,535933.72,598181.34,34922.26,425160.57
123,594578.22,421334.33,40632.08,381190.46
124,441531.15,503460.6,31373.02,487206.4
125,452860.26,542788.89,51179.29,478089.54
126,401754.28,388136.88,46997.1,460202.24
127,521818.89,394409.35,35874.63,362052.15
128,391814.6,423568.59,17359.26,373402.6
129,476242.63,503861.1,33889.59,336339.35
130,413927.59,438153.05,26590.65,401104.72
131,456166.7,492250.16,70308.39,409774.92
132,440739.99,403085.57,45547.58,392593.76
133,474554.03,453119.42,42007.3,399001.56
134,436622.29,589796.88,21765.08,349548.59
135,416795.88,460657.73,32469.96,480688.42
136,423483.43,365669.83,28693.87,340352.25
137,402154.78,465438.53,35642.47,592563.6
138,366636.33,450219.4,99406.88,490132.64
139,402849.73,356201.26,20414.1,487271.97
140,455983.07,476784.14,65301.68,486140.38
141,341384.69,584395.68,123086.54,397422.88
142,484092.91,458035.56,26127.55,408075.54
143,503116.63,442855.66,51741.68,483988.03
144,434347.89,590511.82,26679.72,443777.47
145,541922.65,372968.75,54458.02,403150.88
146,480835.88,472513.65,51287.79,420068.99
147,459571.71,529207.81,73418.73,391404.67
148,451209.74,482004.82,33756.5,367525.83
149,439874.6,420143.77,20569.1,482102.17
150,382661.35,387322.93,10884.44,426928.39
151,361057.85,523001.36,57422.5,404904.67
152,358563.98,419894.13,47443.43,353085.14
153,497453.65,418263.92,29004.01,464902.63
154,504439.8,388563.81,43419.27,356981.8
155,402409.99,518055.85,33708.28,479839.08
156,434075.02,492911.32,44137.31,412186.31
157,424502.48,606419.78,36033.24,340078.74
158,493665.03,533847.9,50346.25,375010.86
159,513430.48,428774.21,37673.2,365595.75
160,512669.68,441390.83,13213.57,421582.6
161,457246.77,492206.4,48005.4,470184.5
162,472350.59,512592.09,62729.03,465110.98
163,441949.39,394179.66,30576.44,330312.31
164,486117.95,413336.22,19867.8,437532.28
165,537144.06,345447.21,21244.14,449806.39
166,396436.15,442934.7,30400.92,523390.74
167,422273.09,472705.04,58132.51,475136.87
168,384175.81,679338.21,19583.28,435275.73
169,398942.58,527260.65,45587.98,394954.47
170,408311.45,410931.8,38585.99,339111.45
171,350373.48,398177.63,64058.21,455455.1
172,471470.33,473154.4,161560.24,329652.83
173,416593.07,479231.68,35190.44,689872.93
174,563133.93,380020,78345.56,397334.02
175,472965.37,603581.2,39865.66,489253.79
176,394780.96,465488.1,31954.4,467675.68
177,381282.06,437834.05,24722.37,441329.64
178,495733.22,599632.36,42982.83,375438.52
179,463956.2,538664.48,58407.4,460615.32
180,365488.65,547535.35,51612.34,446246.35
181,455183.84,430969.38,33504.68,500851.13
182,481268.4,486154.89,39267.69,559866.08
183,395908.82,370537.52,72889.79,519971.8
184,433730.05,427115.44,68731.94,443198.57
185,501345.62,386106.66,39675.64,409157.03
186,467529.6,553122.39,50711.85,493296.97
187,422952.05,467831.2,35537.76,482596.37
188,413594.99,470364.15,25294.53,520597.26
189,497542.22,452957.29,35242.74,455745.5
190,379597.18,337021.49,43727.72,340371.9
191,343767.95,473466.09,52838.7,382552.73
192,540844.19,404825.19,37916.7,414029.54
193,420223.64,491650.3,41769.2,454980.46
194,512963.93,480980.53,48895.6,408936.18
195,534288.02,401649.79,84685.24,461052.21
196,504803.45,557063.18,33246.37,390169.16
197,497055.57,310263.38,34524.1,429355.73
198,444887.4,427355.35,42533.7,442473.42
199,393783.24,520892.95,110006.24,457703.45
200,378562.49,485933.8,59437.78,319821.75
201,451375.58,413007.14,26678.93,416111.58
202,399172.29,463412.34,47019.15,370637.1
203,435994.51,360210.79,13873.96,568922.02
204,386859.92,521980.71,57040.08,361477.41
205,412336.24,591261.23,29699.39,448564.11
206,464968.73,411621.38,45626.36,412638.3
207,404283.8,461520.26,66894.5,415150.16
208,390114.15,509824.81,62623.88,455617.37
209,357171.79,432366.58,39037.28,437054.44
210,334392.49,450057.12,41827.37,440418.29
211,457161.1,482023.58,36404.63,478883.84
212,405347.75,499035.08,27464.15,493588.95
213,378039.99,516164.67,38901.92,497276.89
214,377290.75,539989.68,110106.15,606861.22
215,390155.13,574838.26,132694.44,609720.72
