"sim","total_loss"
1,1321754.82
2,1269935.71
3,1464638.32
4,1365207.74
5,1327813.92
6,1312005.51
7,1468244.54
8,1303144.89
9,1331794.76
10,1457506.03
11,1387363.99
12,1207902.49
13,1421801.58
14,1484229.47
15,1436780.8
16,1269195.66
17,1338189.65
18,1210605.63
19,1609269.26
20,1240611.74
21,1210233.04
22,1263277.07
23,1314905.73
24,1182066.18
25,1486274.04
26,1482648.71
27,1498642.1
28,1515982.35
29,1490759.8
30,1310073.7
31,1271599.55
32,1300091.6
33,1250878.06
34,1302489.23
35,1471287.3
36,1556602.11
37,1335333.6
38,1453688.48
39,1382827.73
40,1314604.46
41,1397637.31
42,1486923.17
43,1263122.02
44,1452810.92
45,1338718.32
46,1307160.27
47,1345959.92
48,1516752.4
49,1517127.93
50,1293331.3
51,1402286.88
52,1277253.61
53,1331369.37
54,1461987.06
55,1360003.06
56,1406364.54
57,1227012.08
58,1421136.94
59,1557938.67
60,1703870.78
61,1448213.58
62,1650054.75
63,1393840.95
64,1376456.34
65,1392052.12
66,1278411.79
67,1588857.85
68,1202330.12
69,1154292.11
70,1398232.36
71,1488412.18
72,1439895.19
73,1560151.42
74,1303590.62
75,1361564.61
76,1413278.53
77,1383724.06
78,1238904.28
79,1571017.62
80,1410856.57
81,1387078.63
82,1356415.72
83,1420919.97
84,1256475.22
85,1378123.53
86,1375265.66
87,1442033.7
88,1339510.55
89,1306273.26
90,1192196.99
91,1460976.93
92,1322958.27
93,1250658.8
94,1575156.74
95,1421285.11
96,1418528.37
97,1106343.11
98,1361154.93
99,1343517.29
100,1412997.1
101,1376473.88
102,1470841.83
103,1419952.36
104,1481464.61
105,1391641.67
106,1307109.82
107,1480951.47
108,1416554.01
109,1383082.7
110,1542552.19
111,1213889.43
112,1297601.05
113,1745027.95
114,1267898.94
115,1606292.42
116,1269083.13
117,1393769.96
118,1682228.62
119,1285097.15
120,1348050.03
121,1436987.19
122,1594197.9
123,1437735.09
124,1463571.17
125,1524917.98
126,1297090.5
127,1314155.01
128,1206145.06
129,1350332.67
130,1279776.01
131,1428500.17
132,1281966.91
133,1368682.31
134,1397732.85
135,1390612
136,1158199.37
137,1495799.38
138,1406395.25
139,1266737.05
140,1484209.27
141,1446289.78
142,1376331.56
143,1481702
144,1495316.89
145,1372500.3
146,1424706.32
147,1453602.92
148,1334496.89
149,1362689.64
150,1207797.11
151,1346386.38
152,1178986.68
153,1409624.21
154,1293404.68
155,1434013.2
156,1383309.96
157,1407034.24
158,1452870.05
159,1345473.63
160,1388856.67
161,1467643.08
162,1512782.69
163,1197017.8
164,1356854.25
165,1353641.8
166,1393162.5
167,1428247.52
168,1518373.03
169,1366745.68
170,1196940.69
171,1268064.42
172,1435837.8
173,1620888.11
174,1418833.52
175,1605666.03
176,1359899.14
177,1285168.12
178,1513786.93
179,1521643.39
180,1410882.7
181,1420509.04
182,1566557.06
183,1359307.93
184,1372776
185,1336284.95
186,1564660.81
187,1408917.38
188,1429850.93
189,1441487.75
190,1100718.29
191,1252625.46
192,1397615.62
193,1408623.6
194,1451776.24
195,1481675.26
196,1485282.16
197,1271198.78
198,1357249.85
199,1482385.88
200,1243755.82
201,1307173.23
202,1280240.88
203,1379001.29
204,1327358.12
205,1481860.98
206,1334854.76
207,1347848.72
208,1418180.21
209,1265630.09
210,1266695.27
211,1454473.15
212,1425435.93
213,1430383.47
214,1634247.81
215,1707408.54
216,1431296
217,1329228.09
218,1405000.91
219,1360110.21
220,1241052.28
221,1383883.29
222,1399055.87
223,1279461.45
224,1153046.95
225,1322855.32
226,1407513.54
227,1483845.89
228,1418439.1
229,1496065.93
230,1590682.64
231,1278236.62
232,1397044.95
233,1573746.89
234,1529703.4
235,1351804.08
236,1652469.64
237,1198991.76
238,1196584.12
239,1446420.88
240,1496532.92
241,1288685.26
242,1542841.8
243,1186290.43
244,1369319.45
245,1406158.92
246,1386764.69
247,1499568.71
248,1635396.9
249,1356127.17
250,1264131.63
251,1339123.86
252,1401213.89
253,1251815.79
254,1517058.92
255,1525989.25
256,1681297.45
257,1608685.22
258,1600646.8
259,1421863.19
260,1373074.98
261,1379583.82
262,1393157.06
263,1317621.39
264,1545185.1
265,1345277.61
266,1281837.33
267,1317826.7
268,1176242.16
269,1764073.58
270,1581952.45
271,1446185.53
272,1139751.19
273,1280431.15
274,1670776.17
275,1308969.93
276,1358327.56
277,1190919.17
278,1436049.51
279,1319317.07
280,1170248.02
281,1288213.75
282,1524296.9
283,1427711.92
284,1364711.06
285,1285027.91
286,1224085.63
287,1260083.53
288,1275513.96
289,1213154.44
290,1605337.9
291,1422584.13
292,1356558.61
293,1483827.74
294,1253269.76
295,1450863.13
296,1257406.06
297,1266571.95
298,1306897.68
299,1383562.69
300,1294459.87
301,1187088.21
302,1178051.02
303,1594851.08
304,1417690.68
305,1206957.92
306,1302658.43
307,1292110.38
308,1279037.04
309,1156428.33
310,1512595.73
311,1649526.23
312,1236789.36
313,1233542.71
314,1304907.58
315,1395088.21
316,1321356.33
317,1462131.06
318,1480913.03
319,1544168.53
320,1446756.79
321,1742257.39
322,1495591.66
323,1180734.25
324,1531553.63
325,1310000.81
326,1468803.62
327,1275288.14
328,1507154.56
329,1532257.76
330,1749985.06
331,1460084.78
332,1515458.99
333,1383535.77
334,1551066.14
335,1338353.41
336,1407562.31
337,1389970.87
338,1493841.48
339,1536501.82
340,1189277.91
341,1964145.11
342,1728822.95
343,1528601.35
344,1408465.83
345,1228677.86
346,1323383.83
347,1149319.8
348,1259036.3
349,1464193.05
350,1387196.35
351,1230342.09
352,1374486.61
353,1476696.53
354,1320947.76
355,1302394.78
356,1282486.86
357,1308744.18
358,1497090.51
359,1135254.62
360,1243528.48
361,1532090.17
362,1699540.56
363,1468947.03
364,1325613.07
365,1467294.86
366,1405317.92
367,1626860.69
368,1475338.8
369,1219617.63
370,1357753.34
371,1274421.02
372,1290221.25
373,1324092.36
374,1289999.73
375,1231075.13
376,1284177.22
377,1408998.05
378,1302162.5
379,1408633.36
380,1334757.64
381,1482642.24
382,1584577.1
383,1271574.35
384,1453129.51
385,1337506.32
386,1373703.34
387,1326353.91
388,1542455.57
389,1341846.07
390,1614619.56
391,1469698.29
392,1299397.45
393,1476897.65
394,1266596.84
395,1420702.37
396,1359130.72
397,1385729.98
398,1361365.38
399,1428110.42
400,1185936.17
401,1272977.33
402,1404534.83
403,1337869.63
404,1245268.54
405,1469751.23
406,1370245.64
407,1328214.78
408,1560880.28
409,1477533.42
410,1347516.93
411,1374070.2
412,1309075.43
413,1121347.02
414,1459459.98
415,1265787.42
416,1231722.71
417,1562521.26
418,1248241.06
419,1703591.56
420,1399882.25
421,1253206.66
422,1566579.2
423,1667832.83
424,1542317.15
425,1428541.81
426,1471728.05
427,1742306.84
428,1343666.08
429,1242520.35
430,1467152
431,1203508.26
432,1277630.9
433,1388871.73
434,1211329.37
435,1527609.14
436,1375347.99
437,1475275.24
438,1230799.03
439,1390557.4
440,1469380.26
441,1279488.15
442,1401510.28
443,1513998.38
444,1239142.2
445,1453212.04
446,1389602.1
447,1402555.82
448,1367213.89
449,1219151.74
450,1246630.41
451,1338792.16
452,1578156.62
453,1370880.19
454,1452022.37
455,1577972.43
456,1429724.06
457,1398108.85
458,1318922.47
459,1363734.31
460,1519326.95
461,1258538.14
462,1393498.39
463,1382707.12
464,1386701.76
465,1553182.99
466,1195745.43
467,1626295.02
468,1244365.33
469,1103514.4
470,1445861.82
471,1475565.78
472,1401577.05
473,1350220.71
474,1344958.21
475,1283853.52
476,1431071.67
477,1227576.44
478,1314119.2
479,1367095.61
480,1330061.94
481,1220474.35
482,1361048.06
483,1417063.45
484,1521094.7
485,1505531.34
486,1504586.94
487,1390408.83
488,1348023.73
489,1671684.76
490,1368483.6
491,1314592.51
492,1582373.5
493,1319957.39
494,1238951.06
495,1488428.43
496,1567937.7
497,1288617.47
498,1324209.82
499,1562629.81
500,1496494.85
501,1495360.03
502,1197442.77
503,1429714.05
504,1581727.22
505,1577463.01
506,1296451.44
507,1445999.84
508,1548340.24
509,1335912.21
510,1279982.27
511,1499366.9
512,1282732.27
513,1251194.99
514,1467248.1
515,1317754.63
516,1301524.17
517,1105023.45
518,1429144.69
519,1359233.69
520,1286319.88
521,1213624.19
522,1367222.52
523,1404290.96
524,1353933.37
525,1332363.74
526,1340895.8
527,1623937.56
528,1560775.31
529,1408538.58
530,1487348.05
531,1665672.2
532,1316406.41
533,1367036.01
534,1813145.12
535,1703089.05
536,1490478
537,1356944.04
538,1496510.19
539,1363624.44
540,1352718.33
541,1389836.23
542,1422742.66
543,1516494.54
544,1355343.02
545,1313864.82
546,1422930.13
547,1448061.86
548,1236275.57
549,1445241.9
550,1469060.29
551,1215776.65
552,1405127.9
553,1330719.52
554,1171074.76
555,1384663.01
556,1383751.08
557,1222027.43
558,1510576.24
559,1405563.78
560,1537520.62
561,1589074.12
