"sim","equipment_type","agg_loss","claim_count"
1,"FexStram Carrier",2393322.71,37
1,"Flux Rider",46849600.46,611
1,"Graviton Extractor",7271863,95
1,"Ion Pulverizer",1517778.5,19
1,"Quantum Bore",9188394.81,78
1,"ReglAggregators",6271437.05,84
2,"FexStram Carrier",4812425.92,64
2,"Flux Rider",44671941.07,565
2,"Graviton Extractor",5874319.46,75
2,"Ion Pulverizer",1009393.21,17
2,"Quantum Bore",7052861.02,65
2,"ReglAggregators",6086977.11,79
3,"FexStram Carrier",3829180.63,52
3,"Flux Rider",43951425.97,585
3,"Graviton Extractor",5922442.76,77
3,"Ion Pulverizer",1408863.75,15
3,"Quantum Bore",10531088.17,89
3,"ReglAggregators",6035008.78,71
4,"FexStram Carrier",4211068.69,63
4,"Flux Rider",44943003.14,585
4,"Graviton Extractor",6709435.62,87
4,"Ion Pulverizer",917183.3,9
4,"Quantum Bore",10154662.62,80
4,"ReglAggregators",5390767.31,68
5,"FexStram Carrier",3499689.11,51
5,"Flux Rider",45443478.82,607
5,"Graviton Extractor",6976420.45,90
5,"Ion Pulverizer",1001924.82,15
5,"Quantum Bore",7979831.18,63
5,"ReglAggregators",6393731.19,78
6,"FexStram Carrier",2997781.67,47
6,"Flux Rider",46676267.42,610
6,"Graviton Extractor",5756183.68,77
6,"Ion Pulverizer",1596253.68,22
6,"Quantum Bore",11294259.53,66
6,"ReglAggregators",5615163.05,78
7,"FexStram Carrier",3891141.66,51
7,"Flux Rider",43984259.18,553
7,"Graviton Extractor",4940532.71,61
7,"Ion Pulverizer",1621960.76,19
7,"Quantum Bore",10329567.59,85
7,"ReglAggregators",5089340.38,76
8,"FexStram Carrier",3630900.09,47
8,"Flux Rider",42171219.24,560
8,"Graviton Extractor",6513619.17,81
8,"Ion Pulverizer",959429.32,18
8,"Quantum Bore",10001211.98,81
8,"ReglAggregators",5502479.97,70
9,"FexStram Carrier",4474076.18,67
9,"Flux Rider",43634244.62,561
9,"Graviton Extractor",5892050.29,77
9,"Ion Pulverizer",1058246.64,15
9,"Quantum Bore",10536711.45,81
9,"ReglAggregators",5511004.37,83
10,"FexStram Carrier",4432111.57,65
10,"Flux Rider",40894236.88,529
10,"Graviton Extractor",5451560.7,78
10,"Ion Pulverizer",870857.56,12
10,"Quantum Bore",14942270.58,95
10,"ReglAggregators",4626674.79,63
11,"FexStram Carrier",4179463.42,54
11,"Flux Rider",43294081.9,563
11,"Graviton Extractor",6183645.43,87
11,"Ion Pulverizer",1056383.97,16
11,"Quantum Bore",13877716.38,77
11,"ReglAggregators",5481031.42,75
12,"FexStram Carrier",4346491.32,55
