"sim","solar_system_original","agg_loss","claim_count"
1,"Bayesian System",16101601.77,208
1,"Helionis Cluster",48315732.46,608
1,"Oryn Delta",9075062.31,108
2,"Bayesian System",16209291.6,192
2,"Helionis Cluster",46051035.58,586
2,"Oryn Delta",7247590.6,87
3,"Bayesian System",18573750.82,232
3,"Helionis Cluster",45157858.76,565
3,"Oryn Delta",7946400.46,92
4,"Bayesian System",17698756.59,212
4,"Helionis Cluster",46897081.18,584
4,"Oryn Delta",7730282.91,96
5,"Bayesian System",16738698.38,228
5,"Helionis Cluster",44903103.32,562
5,"Oryn Delta",9653273.87,114
6,"Bayesian System",15058800.81,196
6,"Helionis Cluster",51492486.57,615
6,"Oryn Delta",7384621.66,89
7,"Bayesian System",14257415.38,190
7,"Helionis Cluster",48427463.63,577
7,"Oryn Delta",7171923.27,78
8,"Bayesian System",14687963.75,178
8,"Helionis Cluster",47029900.92,589
8,"Oryn Delta",7060995.08,90
9,"Bayesian System",15933703.57,194
9,"Helionis Cluster",47743364.57,599
9,"Oryn Delta",7429265.41,91
10,"Bayesian System",13838589.27,173
10,"Helionis Cluster",45440147.28,569
10,"Oryn Delta",11938975.53,100
11,"Bayesian System",14991092.91,181
11,"Helionis Cluster",52130850.67,602
11,"Oryn Delta",6950378.93,89
12,"Bayesian System",16512081.08,204
12,"Helionis Cluster",47983202.21,595
12,"Oryn Delta",8947814.83,99
13,"Bayesian System",14602019.14,185
13,"Helionis Cluster",49776418.01,604
13,"Oryn Delta",6709264.32,80
14,"Bayesian System",16547713.95,204
14,"Helionis Cluster",48949899.34,548
14,"Oryn Delta",7256800.19,95
15,"Bayesian System",16438584.09,220
15,"Helionis Cluster",50028090.68,625
15,"Oryn Delta",8875477.63,103
16,"Bayesian System",17514864.83,215
16,"Helionis Cluster",44428927.36,561
16,"Oryn Delta",8394182.53,100
17,"Bayesian System",15458848.08,191
17,"Helionis Cluster",45039944.89,577
17,"Oryn Delta",7874337.1,85
18,"Bayesian System",18061326.99,222
18,"Helionis Cluster",46692688.86,599
18,"Oryn Delta",9442634.96,102
19,"Bayesian System",16262215.42,195
19,"Helionis Cluster",48604246.27,583
19,"Oryn Delta",7363648.43,84
20,"Bayesian System",16535814.34,210
20,"Helionis Cluster",42828693.77,538
20,"Oryn Delta",10994415.93,76
