"sim","agg_loss","claim_count"
1,73492396.53,924
2,69507917.79,865
3,71678010.04,889
4,72326120.69,892
5,71295075.57,904
6,73935909.04,900
7,69856802.28,845
8,68778859.76,857
9,71106333.55,884
10,71217712.08,842
11,74072322.51,872
12,73443098.12,898
13,71087701.47,869
14,72754413.48,847
15,75342152.41,948
16,70337974.72,876
17,68373130.06,853
18,74196650.82,923
19,72230110.12,862
20,70358924.04,824
21,69461553.92,895
22,73575169.88,895
23,68886113.58,853
24,77901626.38,899
25,76350679.29,909
26,73049087.51,903
27,71175535.38,886
28,71235246.28,882
29,72022774.05,871
30,71851016.51,901
31,71750572.28,842
32,65870262.17,833
33,67235258.39,847
34,75061649.08,911
35,71431661.96,896
36,69800612.82,867
37,69861323.91,884
38,67911859.71,843
39,69540282.05,876
40,67098781.26,851
41,70861521.69,890
42,85220802.24,880
43,68745920.61,855
44,66769733.56,811
45,70667604.64,859
46,67956554.93,858
47,71665154.91,857
48,71289687.15,896
49,68723433.5,868
50,72760631.2,865
51,69452312.93,845
52,73184483.02,882
53,68534881.31,843
54,72397522.75,862
55,69329112.67,874
56,80735823.87,926
57,70203005.11,851
58,69680244.93,851
59,73864925.59,914
60,76218453.85,918
61,73498895.06,881
62,77101771.51,912
63,75897641.68,917
64,76557998.27,941
65,74040804.34,916
66,74080870.32,876
67,70433371.18,897
68,69966532.32,886
69,69186792.93,856
70,69146422.1,823
71,70603293.61,869
72,73264943.69,886
73,75489875.86,929
74,70114734.02,865
75,71207886.11,889
76,76081964.49,917
77,71118222.56,859
78,72618651.52,902
79,69786821.61,864
80,70168660.93,866
81,78202999.88,965
82,74868080,906
83,68893901.63,839
84,73522302.95,902
85,75777102.98,927
86,76462610.2,927
87,70175700.82,852
88,76251544.09,874
89,71473395.51,894
90,70961129.29,889
91,67762032.14,826
92,68772561.92,869
93,74901705.66,894
94,73395082.2,905
95,68339812.92,851
96,76239418.4,919
97,70301079.25,877
98,79732238.14,946
99,75110346.54,916
100,75200262.2,884
101,69351414.29,851
102,77038507.97,920
103,74565608.17,915
104,74444932.88,926
105,70485447.62,849
106,68590533.61,871
107,66713204.89,833
108,75432202.82,910
109,69790334.86,854
110,72284580.58,891
111,76574089.6,899
112,72635487.57,882
113,73378636.51,884
114,69710667.69,870
115,70757520.99,871
116,67320917.43,836
117,69766448.4,853
118,71194662.58,870
119,64774077.05,826
120,75262889.82,904
121,72893128.82,884
122,70195308.43,847
123,72822067.03,891
124,72978797.25,882
125,72104679.83,898
126,75991203.22,923
127,71514071.54,827
128,69799244,847
129,66624954.96,825
130,70949967.7,857
131,69225363.01,839
132,72330420.12,892
133,66167839.69,862
134,68544843.83,866
135,73766129.63,836
136,69248745.64,846
137,73220226.96,876
138,73428104.49,899
139,69139519.32,869
140,72209933.25,898
141,73534320.81,899
142,69739441.14,895
143,74094749.9,893
144,68438838.93,855
145,71988474.92,889
146,73021810.52,901
147,71604924.52,888
148,70346498.25,868
149,70684272.95,883
150,78590769.2,906
151,81196253.49,876
152,66369536.52,834
153,72072442.11,878
154,70783820.65,892
155,72920411.49,898
156,71459671.16,866
157,72035985.35,897
158,69578094.09,827
159,68908173.64,873
160,72647570.91,858
161,70834415.42,848
162,72788936.03,870
163,76805449,889
164,69180181,864
165,75539972.46,895
166,69933898.76,878
167,71034816.46,872
168,71649909.23,855
169,63914792.36,811
170,67462955.09,834
171,70511126.95,861
172,70127787.87,837
173,75866966.04,911
174,70815408,864
175,70745908.09,880
176,67253390.1,826
177,67588938.41,858
178,82955691.95,922
179,76912595.55,891
180,72397422.06,862
181,69930723.81,864
182,76211870.43,926
183,73913253.09,876
184,73851317.55,904
185,76360772.44,864
186,65942837.58,823
187,67666848.38,859
188,75997438.41,921
189,76293486.75,888
190,67555126.97,849
191,70737930.38,883
192,74077346.06,876
193,70955441.99,904
194,70540829.87,875
195,67973020.76,863
196,68883663.96,875
197,77291616.26,965
198,74356050.08,920
199,74782796.44,919
200,64370917.78,827
201,70728161,897
202,69717764.99,875
203,71735921.19,842
204,68163704.25,826
205,70285391.27,873
206,69590019.22,852
207,70057380.64,877
208,69461539.98,858
209,76157150.4,940
210,70106404.22,902
211,69387555.95,874
212,74149898.01,885
213,66817248.75,841
214,68987911.52,860
215,69220375.7,872
216,72291338.43,902
217,74458370.7,901
218,68895094.28,846
219,73101650.76,897
220,70571225.38,868
221,70607527.91,878
222,71422325.46,873
223,70039834.69,862
224,70479117.42,870
225,82070429.78,932
226,69952031.94,870
227,77556634.06,918
228,70313926.2,843
229,72567496.07,860
230,73957844.81,872
231,72852736.47,871
232,71738593.23,826
233,74867606.77,892
234,73285943.89,896
235,69283320.3,867
236,71843271.05,898
237,75697678.05,903
238,72142147.57,874
239,81966452.16,878
240,67802115.79,827
241,70453901.98,878
242,65743347.83,821
243,66313201.9,805
244,72758408.9,887
245,73168095.25,910
246,68878438.97,861
247,71900304.84,883
248,69403729.13,857
249,75046774.02,905
250,74545340.27,904
251,64991082.22,833
252,71083362.51,869
253,76188228.01,896
254,71138616.77,864
255,75343475.12,904
256,73984385.08,909
257,79144503.82,882
258,68458467.17,836
259,70373457.48,853
260,70831118,879
261,78015197.18,930
262,68464290.44,860
263,72654112.54,883
264,68713829.05,848
265,76416375.31,927
266,68878757.96,853
267,71868634.18,855
268,67046010.6,846
269,72217260.75,891
270,70825238.6,866
271,73184528.46,920
272,72598396.18,866
273,68460246.61,829
274,69921328.8,857
275,69824529.18,855
276,72212428.7,901
277,71948380.72,891
278,71972692.07,858
279,70836589.65,871
280,70388068.13,876
281,69671022.35,851
282,69373714.52,868
283,69521790.91,876
284,71369057.3,889
285,69270641.54,846
286,68884868.74,844
287,66202487.59,847
288,78237918.64,917
289,66844113.33,857
290,66495532.19,834
291,69949095.14,882
292,72380775.65,879
293,69498192.95,857
294,70130118.89,855
295,69920034.03,844
296,75268135.28,887
297,73993015.91,830
298,71213317.89,865
299,68528815.67,818
300,71076512.14,871
301,72601734.02,863
302,68039413.45,865
303,68524813.28,856
304,70136813.25,868
305,69842483.56,878
306,70773213.89,866
307,74991963.95,891
308,69263236.01,870
309,69779852.45,863
310,78909790.48,947
311,73656697.48,924
312,70178027.27,879
313,76850977.61,933
314,69570178.91,888
315,72284702.06,891
316,70049372.22,840
317,70708598.01,868
318,76234710.59,905
319,73838182.72,885
320,73765185.6,897
321,73955631.35,914
322,68722940.33,845
323,72604112.7,880
324,70272202.69,865
325,76147357.1,894
326,66765181.67,847
327,74646619.64,898
328,65275164.04,834
329,68154323.8,830
330,72156889.71,862
331,68468697.75,878
332,71781208.89,873
333,73593434.01,880
334,68319067.98,846
335,68296564.78,860
336,73331691.12,913
337,70027216.22,876
338,75094681,905
339,68618218.98,815
340,74839501.27,860
341,73513743.21,946
342,76736549.36,902
343,78071282.46,951
344,69226486.35,867
345,69430747.83,865
346,71388341.32,882
347,71502833.81,847
348,69584446.49,880
349,76500207.44,914
350,75924972.77,902
351,68738288.11,860
352,68199611.57,834
353,70320193.25,870
354,71923123.32,839
355,74020300.52,909
356,71240985.07,868
357,73030740.57,906
358,69192180.62,851
359,70829041.52,861
360,73161700.63,895
361,67356988.89,860
362,64860911.17,819
363,68700821.05,839
364,70492271.45,871
365,68302133.55,851
366,65106623.56,815
367,70950613.74,835
368,66641096.75,833
369,69063201.96,837
370,74244001.94,903
371,67731875.08,824
372,78781005.53,861
373,70416659.38,884
374,76086666.43,869
375,78869882.54,869
376,69689625.61,841
377,68462669.17,850
378,70519849.5,846
379,73752374.37,916
380,76082503.1,897
381,73067454.7,904
382,73559063.44,850
383,68479829.48,821
384,70625755.25,883
385,72878854.94,896
386,69257453.73,884
387,71302648.11,871
388,69054889.55,862
389,74731217.94,884
390,67665475.57,858
391,69290279.35,875
392,70429965.82,878
393,73728169.07,860
394,72133402.88,920
395,68154440.24,830
396,73704792.67,900
397,66933922.01,820
398,69100514.67,842
399,67831347.63,861
400,72224641.35,875
401,73761437.69,876
402,65772616.34,823
403,69840261.39,866
404,73429662.75,839
405,76280558.34,911
406,74910209.63,933
407,69635750.45,832
408,73344195.8,855
409,69144932.61,848
410,77489149.11,949
411,69511596.68,851
412,71196225.95,859
413,74066417.03,898
414,69573344.33,859
415,78935498.62,916
416,70313337.21,883
417,69267325.78,839
418,71042072.61,902
419,71005020.14,875
420,69962318.41,859
421,71515606.31,905
422,66382799.44,841
423,72563509.11,904
424,72400978.14,868
425,71514135.29,865
426,69005374.63,850
427,70710726.89,863
428,73727619.6,885
429,75477170.17,866
430,74207665.83,861
431,67035113.11,846
432,71553044.53,850
433,70712203.67,896
434,76986494.31,898
435,71435674.28,874
436,67447358.77,844
437,73622661.1,907
438,69658653.91,885
439,73479304.08,905
440,69527939.33,865
441,70815150.07,878
442,74740059.11,886
443,71660995.47,893
444,71874712.1,884
445,69293477.06,878
446,71703163.37,861
447,77026040.24,848
448,72131534.07,843
449,69295507.02,845
450,71468101.87,879
451,70102615.43,855
452,74786544.83,875
453,69749533.34,843
454,75599211.11,872
455,70354084.51,864
456,70061800.85,857
457,72663480.27,867
458,65728277.02,843
459,74112609.18,922
460,73081027.96,900
461,72870218.95,902
462,70982688.07,907
463,69616284.6,853
464,77858584.01,942
465,73736291.47,863
466,72817132.16,902
467,71197563.93,887
468,72810560.35,877
469,75185217.54,919
470,72782974.92,874
471,71764310.18,864
472,77036184.26,930
473,68101245.65,850
474,71803144.2,883
475,70819597.96,845
476,68249785.75,824
477,67458291.13,833
478,71777984.34,861
479,73764325.82,891
480,71560616.64,880
481,71726980.42,875
482,71083323.17,870
483,72108586.13,822
