"sim","Bayesia System","Helionis Cluster","Oryn Delta"
1,348425.86,706933.26,266395.7
2,339211.25,638723.55,292000.91
3,489457.35,750216.15,224964.83
4,297945.64,850165.53,217096.58
5,370228.27,796561.95,161023.7
6,334784.94,746140.75,231079.83
7,345493.77,936402.95,186347.82
8,398076.24,682985.73,222082.92
9,343964.79,726743.24,261086.73
10,570696.76,715406.34,171402.93
11,410785.87,832256.73,144321.38
12,380895.07,638825.62,188181.79
13,377300.85,832930.21,211570.53
14,457874.91,761698.8,264655.76
15,290461.05,894113.04,252206.72
16,319803.69,677705.8,271686.17
17,369323.31,731732.72,237133.62
18,292864.11,730809.84,186931.68
19,423618.86,1018028.9,167621.5
20,332772.13,739287.98,168551.63
21,411579.2,658350.96,140302.88
22,356025.47,716754.94,190496.65
23,302602.22,808646.05,203657.45
24,328818.93,701008.04,152239.21
25,374238.1,879255.39,232780.55
26,265264.8,964876.67,252507.24
27,496416.41,783760.08,218465.61
28,410361.59,896386.02,209234.74
29,404139.76,868264.4,218355.64
30,282745.66,732234.94,295093.09
31,302653.69,723729.35,245216.51
32,413157.59,663129.75,223804.25
33,317348.37,677685.39,255844.3
34,320087.71,769727.93,212673.59
35,305257.94,870818.45,295210.92
36,444952.19,835106.52,276543.39
37,344924.11,737239.81,253169.68
38,360188.56,884266.08,209233.85
39,374497.32,691582.86,316747.55
40,281509.8,792571.2,240523.46
41,429450,803049.97,165137.33
42,425284.74,821396.09,240242.34
43,397507.23,692890.51,172724.28
44,352722.93,905074.91,195013.08
45,337701.96,851068.84,149947.52
46,357153.86,730267.35,219739.06
47,330368.57,829253.41,186337.95
48,318984.92,903124.45,294643.04
49,330049.01,811257.18,375821.74
50,320806.15,727786.76,244738.38
51,317254.22,845663.85,239368.8
52,300175.37,747578.11,229500.14
53,424922.29,746297.6,160149.48
54,461910.38,757421.59,242655.1
55,360224.79,758944.86,240833.41
56,405550.1,780691.55,220122.89
57,355348.91,643817.81,227845.37
58,269660.81,914969.69,236506.44
59,390830.6,974511.36,192596.71
60,349823.51,951463.99,402583.28
61,332406.51,765910.42,349896.65
62,464877.13,943368.98,241808.64
63,431493.91,786027.46,176319.59
64,424396.62,706118.76,245940.95
65,461124.39,726404.9,204522.82
66,365143.31,742442.3,170826.18
67,439414.78,939452.52,209990.54
68,305319.18,644148.01,252862.93
69,324042.33,658226.47,172023.31
70,309832.35,732351.87,356048.14
71,348890.26,912528.83,226993.08
72,441526.75,763896.14,234472.31
73,321351.39,965178.62,273621.4
74,298415.08,793882.12,211293.41
75,410024.8,733491.95,218047.86
76,390880.32,696106.78,326291.43
77,278769.1,890126.5,214828.46
78,322447.15,755394.54,161062.59
79,313029.88,929148.49,328839.25
80,311392.15,821257.72,278206.7
81,287557.64,895230.59,204290.39
82,325431.4,687315.08,343669.24
83,341033.35,832938.93,246947.69
84,243067.85,853567.17,159840.19
85,420831.58,780059.59,177232.36
86,347676.92,877267.57,150321.16
87,404920.17,846461.24,190652.29
88,313180.53,740803.03,285526.98
89,275632.97,869735.64,160904.65
90,318711.71,694894.58,178590.7
91,365359.04,890053.76,205564.14
92,305045.97,743538.3,274374
93,382767.58,677252.26,190638.96
94,322984.97,1012813.04,239358.73
95,422862.53,818259,180163.58
96,541361.86,693685.57,183480.94
97,311616.36,664376.05,130350.69
98,421553.8,703690.76,235910.37
99,382478.11,679941.93,281097.24
100,401958.59,718126.89,292911.63
101,371043.76,719777.42,285652.69
102,360983.02,816890.58,292968.23
103,413336.61,839702.25,166913.5
104,408253.63,797276.5,275934.48
105,253700.72,900696.98,237243.97
106,331268.95,734992.34,240848.53
107,487671.39,726482.42,266797.66
108,435634.95,764050.15,216868.92
109,401254.28,776037.17,205791.25
110,373512.36,822398.05,346641.78
111,428932.09,619890.89,165066.45
112,309328.3,787104.75,201168
113,544595.69,964028.83,236403.43
114,365393.02,650584.91,251921.01
115,469767.6,848663.62,287861.21
116,467993.4,604230.41,196859.32
117,423633.64,789022.21,181114.1
118,472063.94,839713.61,370451.07
119,397501.19,694179.81,193416.15
120,333990.43,769882.67,244176.93
121,338514.86,829936.33,268536.01
122,291127.8,927654.35,375415.74
123,409647.48,818722.83,209364.78
124,356390.29,839131.69,268049.19
125,445665.46,824519.04,254733.49
126,363656.67,763825.8,169608.03
127,334794.27,806865.32,172495.43
128,272015.84,633130.88,300998.34
129,387580.51,752795.74,209956.42
130,381445.42,678705.33,219625.26
131,386370.72,789500.06,252629.4
132,307663.14,743892.55,230411.21
133,365216.59,795074.26,208391.46
134,348782.82,825368.71,223581.31
135,438972.03,708348.87,243291.09
136,372990.73,613389.25,171819.39
137,478094.9,796981.48,220723
138,407818.07,822657.67,175919.51
139,278475.92,670523.65,317737.48
140,423237.91,778021.58,282949.79
141,498899.73,725056.7,222333.34
142,333398.08,773117.97,269815.51
143,308189.84,903501.8,270010.36
144,500816.89,730160.84,264339.16
145,367455.9,821030.66,184013.75
146,330209.64,803038.94,291457.74
147,303530.9,917055.29,233016.74
148,425391.6,720377.99,188727.3
149,359347.15,831379.26,171963.23
150,302521.97,642561.41,262713.72
151,417586.74,722022.54,206777.1
152,307591.61,710287.13,161107.94
153,527008.28,639294.05,243321.88
154,295204.58,747618.46,250581.64
155,349928.31,863778.36,220306.53
156,443551.12,684119.33,255639.51
157,402597.33,803139.21,201297.7
158,366769.28,865872.91,220227.85
159,330039.45,836442.19,178991.98
160,517109.9,692216.13,179530.64
161,470904.8,817253.78,179484.5
162,399963.65,835671.58,277147.46
163,272330.77,708007.95,216679.08
164,389648.96,780305.33,186899.95
165,339159.25,788380.04,226102.51
166,368134.4,806762.36,218265.73
167,425241.8,742295.64,260710.09
168,384425.86,884551.21,249395.96
169,316660.06,794929.54,255156.07
170,347111.73,658184.33,191644.64
171,299304.34,715643.12,253116.95
172,398622.45,878348.09,158867.25
173,276604.46,1037793.13,306490.52
174,311911.65,901656.68,205265.19
175,534620.9,856056.54,214988.59
176,478872.92,670183.6,210842.62
177,341275.57,715667.11,228225.43
178,351845.71,918977.22,242963.99
179,266952.05,1018774.68,235916.66
180,399062.8,808958.82,202861.08
181,316079.36,879417.12,225012.56
182,372032.46,966030.52,228494.09
183,433416.52,722752.36,203139.05
184,395823.35,821722.81,155229.84
185,460262.51,645741.39,230281.05
186,429211.65,814044.23,321404.93
187,464636.69,715576.26,228704.43
188,315407.09,906441.02,208002.82
189,328649.68,882501.28,230336.79
190,272432.07,641474.95,186811.27
191,323758.76,723331.19,205535.51
192,281375.81,823551.34,292688.46
193,363815.48,767747.28,277060.83
194,387292.83,888334.75,176148.65
195,422810.56,829353.27,229511.44
196,402344.34,840122.97,242814.85
197,297219.47,730879.43,243099.88
198,401609.77,725732.03,229908.05
199,513507.19,754172.6,214706.1
200,351810.4,643245.34,248700.08
201,363814.83,717075.78,226282.62
202,354925.67,723328.62,201986.59
203,363875.43,702743.65,312382.21
204,289792.47,730122.51,307443.14
205,397636.5,898655.83,185568.65
206,256347.92,833638.72,244868.13
207,319139.22,767831.52,260877.98
208,415123.74,814920.53,188135.94
209,300637.52,719042.48,245950.09
210,305173.22,727847.77,233674.29
211,308999.79,935293.05,210180.31
212,321076.86,874381.78,229977.29
213,347728.16,763651.62,319003.68
214,455883.36,933807.8,244556.64
215,408069,1108290.75,191048.79
216,411113.36,706708.91,313473.73
217,378478.8,718413.03,232336.26
218,349025.48,872997.26,182978.18
219,344507.92,830964.55,184637.74
220,297349.26,715062.51,228640.5
221,458384.2,721774.15,203724.94
222,415739.96,741894.19,241421.73
223,353252.92,667042.84,259165.68
224,290556.66,665372.89,197117.39
225,287241.64,682214.52,353399.15
226,416454.37,768080.59,222978.59
227,571206.72,757179.54,155459.63
228,376106.83,739239.74,303092.53
229,423343.07,754952.18,317770.67
230,361297.06,924779.7,304605.87
231,314419.81,818981.54,144835.27
232,471960.29,734148.66,190936.01
233,433428.95,898734.24,241583.71
234,501096.07,822457.19,206150.13
235,418838.59,741055.36,191910.13
236,408046.51,984490.39,259932.74
237,304557.49,679471.73,214962.54
238,286867.36,722078.63,187638.12
239,401472.91,809155.57,235792.4
240,375140.7,840254.09,281138.13
241,479023.06,621765.32,187896.88
242,437050.06,873876.44,231915.3
243,321354,639167.22,225769.21
244,306397.16,753647.95,309274.34
245,338329.26,771180.32,296649.34
246,364466.8,823201.17,199096.72
247,293279.41,976012.47,230276.82
248,616815.38,850081.14,168500.38
249,383674.32,772243.56,200209.3
250,378812.14,693751.16,191568.33
251,347868.85,676698.42,314556.59
252,327650.8,784073.55,289489.54
253,327252.39,659557.41,265005.99
254,468203.86,860953.5,187901.57
255,501577.99,720998.12,303413.14
256,396231.11,998994.51,286071.83
257,424658.84,936076.53,247949.86
258,403234.37,853769.07,343643.36
259,305584.79,874258.12,242020.28
260,289158.74,848145.93,235770.3
261,334117.39,778173.7,267292.73
262,373838.29,710505.15,308813.63
263,282074.06,817934.64,217612.69
264,528443.27,776630.49,240111.34
265,456435.15,678306.34,210536.11
266,353143.42,710325.78,218368.13
267,308326.17,771017.71,238482.82
268,278500.06,674635.2,223106.9
269,542231.38,971211.5,250630.7
270,334651.5,855915.73,391385.22
271,365081.14,859928.92,221175.46
272,281687.81,656230.01,201833.37
273,351507.62,691434.84,237488.69
274,479190.74,852425.5,339159.93
275,335111.13,683278.42,290580.38
276,432179.49,679169.44,246978.62
277,326769.96,608400.01,255749.21
278,436262.4,831246.34,168540.77
279,334459.9,803706.52,181150.65
280,309068.45,668422.12,192757.45
281,361030.77,671832.91,255350.06
282,397180.52,857775.95,269340.43
283,315407.13,694514.38,417790.4
284,448288.37,683343.96,233078.74
285,271335.48,789655.83,224036.6
286,364243.15,667262.55,192579.93
287,327537.56,712271.46,220274.52
288,342601.72,711192.39,221719.85
289,374127.78,661740.82,177285.84
290,469523.4,816901.85,318912.65
291,321944.22,844761.97,255877.95
292,389233.84,655609.97,311714.81
293,474151.55,731489.53,278186.66
294,300492.71,791097.33,161679.72
295,496390.5,707546.05,246926.59
296,332879.08,687513.91,237013.06
297,370713.45,676753.52,219104.99
298,294992.47,729429.9,282475.31
299,504464.94,691098.52,187999.24
300,399627.6,688755.49,206076.78
301,387106.69,648067.54,151913.98
302,283252.39,727252.7,167545.93
303,422450.09,923966.06,248434.92
304,386508.04,770736.57,260446.07
305,374845.46,660240.57,171871.89
306,404437.18,688257.67,209963.59
307,328542.96,716967.33,246600.09
308,293556.04,779536.03,205944.97
309,286986.24,701996.03,167446.06
310,283302.18,924941.88,304351.67
311,315751.35,1124725.82,209049.06
312,311888.1,745821.35,179079.91
313,266698.47,700774.51,266069.74
314,261114.19,801312.36,242481.02
315,402116.75,792630.2,200341.26
316,393167.03,769272.09,158917.21
317,325939.84,819131.16,317060.06
318,355356.02,847746.78,277810.22
319,336858.87,975832.19,231477.47
320,429450.16,854061.12,163245.51
321,338597,1058426.69,345233.7
322,464622.31,791215.28,239754.08
323,344999.73,637989.97,197744.55
324,467131.53,807581.59,256840.52
325,374958.45,785713.26,149329.11
326,396254.52,856512.78,216036.33
327,354200.81,654732.17,266355.16
328,264143.81,913330.32,329680.42
329,332937.52,729650.41,469669.83
330,369577.32,1185970.42,194437.32
331,303299.85,956920.73,199864.2
332,324289.63,885186.93,305982.44
333,292983.36,806293.04,284259.37
334,454266.85,793705.54,303093.75
335,421344.84,732768.73,184239.84
336,401025.83,853101.58,153434.9
337,365602.74,838077.3,186290.83
338,429180.61,781779.94,282880.93
339,473411.32,759506.09,303584.41
340,280896.84,731306.25,177074.82
341,606663.53,1127269.94,230211.65
342,390856.47,1064373.21,273593.26
343,490937.04,821683.59,215980.73
344,291419.95,816731.76,300314.12
345,305975.41,702211.84,220490.61
346,408507.1,647689.04,267187.7
347,275513.45,664830.14,208976.22
348,369731.07,668620.91,220684.33
349,313227.11,918388.63,232577.31
350,314848.63,837465.37,234882.35
351,336486.51,620377.33,273478.25
352,301533.65,872013.36,200939.6
353,323914.77,693302.01,459479.76
354,316872.69,736719.4,267355.67
355,320187.53,665572.38,316634.88
356,318588.98,757836.47,206061.41
357,381173.96,723594.06,203976.16
358,401654.59,864589.96,230845.96
359,378779.61,591829.11,164645.89
360,294447.06,738934.52,210146.91
361,393905.33,934611.77,203573.06
362,576888.91,869506.79,253144.86
363,360616.88,892092.84,216237.31
364,334177.71,783229.57,208205.8
365,369770.98,820062.49,277461.4
366,432251.25,747099.15,225967.51
367,333370.27,1017943.04,275547.38
368,363686.42,818963.64,292688.74
369,310674.63,693417.38,215525.61
370,339811.55,817518.79,200423
371,271604.78,756384.78,246431.46
372,312658.47,747237.68,230325.11
373,402135.78,721041.88,200914.7
374,245974.51,811340.05,232685.17
375,341517.99,678943.54,210613.6
376,256496.47,795854.52,231826.23
377,310481.04,873822.63,224694.38
378,330570.01,730745.52,240846.98
379,378300.79,847414.17,182918.4
380,351655.28,769320.01,213782.36
381,402404.33,834273.2,245964.71
382,476366.48,801903.89,306306.73
383,327569.31,652592.35,291412.69
384,348182.79,786239.1,318707.62
385,328647.46,792802.81,216056.05
386,367469.96,877168.81,129064.57
387,407826.71,666663.51,251863.69
388,276336.23,1030647.4,235471.94
389,334178.35,767634.58,240033.14
390,502995.97,953261.17,158362.41
391,283836.38,926600.58,259261.33
392,344072.97,659035.34,296289.14
393,356205.92,929782.9,190908.83
394,351770.65,697324.35,217501.83
395,362138.3,763625.99,294938.08
396,302497.2,842182.34,214451.18
397,331757.03,848698.37,205274.58
398,508034.56,676606.77,176724.05
399,448911.08,745344.12,233855.23
400,348574.19,674869.85,162492.13
401,382531.93,639490.1,250955.31
